id	Base Model	Tokenizer	Language	Tag Set	Normalization	Preprocessing	Encoding	BLEU Score	SemScore
INTMT-4727	GreTa	GreTa	PL	OB	Preserved	Diacritics	emb-auto	51.06205309669909	0.9211083650588988
INTMT-4792	GreTa	GreTa	PL	OB	Preserved	Diacritics	emb-sum	51.20675150469907	0.9186414480209352
INTMT-5037	mT5-large	mT5	EN	BH	Preserved	Diacritics	emb-concat	50.471691668101606	0.836911678314209
INTMT-4932	mT5-base	mT5	PL	BH	Simplified	Normalized	emb-sum	50.42907469913463	0.921557068824768
INTMT-4880	GreTa	GreTa	PL	OB	Simplified	Normalized	emb-auto	49.71920385694341	0.9194297790527344
INTMT-4803	mT5-base	mT5	EN	OB	Simplified	Normalized	emb-sum	47.94636758563275	0.842203676700592
INTMT-4866	mT5-base	mT5	EN	BH	Simplified	Normalized	emb-auto	47.83592007547364	0.8387402892112732
INTMT-4784	GreTa	GreTa	PL	BH	Simplified	Normalized	emb-sum	48.46534138096011	0.915965735912323
INTMT-4897	PhilTa	PhilTa	EN	BH	Simplified	Normalized	emb-concat	46.82407698324114	0.8219398260116577
INTMT-5117	mT5-large	mT5	EN	BH	Preserved	Diacritics	t-w-t	46.00299057226718	0.8278296589851379
INTMT-4864	GreTa	GreTa	PL	BH	Simplified	Normalized	emb-auto	46.01187902348031	0.910557210445404
INTMT-5133	mT5-large	mT5	EN	OB	Preserved	Diacritics	t-w-t	45.59285557815833	0.8260927200317383
INTMT-4957	mT5-large	mT5	EN	Unused	Preserved	Diacritics	baseline	44.67012539943119	0.8202059864997864
INTMT-4905	PhilTa	PhilTa	EN	OB	Preserved	Diacritics	emb-concat	45.42599250054784	0.8284428119659424
INTMT-5109	mT5-large	mT5	EN	Unused	Simplified	Normalized	baseline	43.6446937791223	0.8178795576095581
INTMT-5391	mT5-large	mT5	EN	BH	Simplified	Normalized	t-w-t	43.96539410854359	0.8180500268936157
INTMT-4884	mT5-base	mT5	PL	OB	Simplified	Normalized	emb-auto	44.292667736083445	0.9022654294967652
INTMT-4907	mT5-base	mT5	EN	OB	Preserved	Diacritics	emb-concat	42.58547228314999	0.7991743683815002
INTMT-5053	mT5-large	mT5	EN	OB	Preserved	Diacritics	emb-concat	41.18153088092645	0.770106315612793
INTMT-4958	mT5-large	mT5	PL	Unused	Preserved	Diacritics	baseline	42.91817109111916	0.8947839140892029
INTMT-4664	PhilTa	PhilTa	EN	Unused	Preserved	Diacritics	baseline	41.545460298138565	0.8260707259178162
INTMT-4825	PhilTa	PhilTa	EN	BH	Preserved	Diacritics	t-w-t	40.94679306797771	0.8187312483787537
INTMT-4841	PhilTa	PhilTa	EN	OB	Preserved	Diacritics	t-w-t	40.84430907142092	0.8170925378799438
INTMT-5142	mT5-large	mT5	PL	OB	Simplified	Normalized	t-w-t	41.57960473617588	0.8913917541503906
INTMT-4913	PhilTa	PhilTa	EN	OB	Simplified	Normalized	emb-concat	40.76304002894262	0.7812074422836304
INTMT-5134	mT5-large	mT5	PL	OB	Preserved	Diacritics	t-w-t	41.61980662900528	0.8929280638694763
INTMT-5118	mT5-large	mT5	PL	BH	Preserved	Diacritics	t-w-t	41.930782839042	0.8929523229598999
INTMT-5110	mT5-large	mT5	PL	Unused	Simplified	Normalized	baseline	41.04590218294506	0.8876247406005859
INTMT-5392	mT5-large	mT5	EN	OB	Simplified	Normalized	t-w-t	35.47443056227787	0.778364360332489
INTMT-4833	PhilTa	PhilTa	EN	BH	Simplified	Normalized	t-w-t	34.25011628438171	0.7649425268173218
INTMT-4672	PhilTa	PhilTa	EN	Unused	Simplified	Normalized	baseline	33.243199048743755	0.7446991801261902
INTMT-4849	PhilTa	PhilTa	EN	OB	Simplified	Normalized	t-w-t	33.44072830500308	0.758726954460144
INTMT-4800	GreTa	GreTa	PL	OB	Simplified	Normalized	emb-sum	32.921144054250966	0.8716781139373779
INTMT-4811	mT5-base	mT5	EN	Unused	Preserved	Diacritics	baseline	31.61167905340219	0.74146968126297
INTMT-4827	mT5-base	mT5	EN	BH	Preserved	Diacritics	t-w-t	30.11321849873736	0.7396735548973083
INTMT-4819	mT5-base	mT5	EN	Unused	Simplified	Normalized	baseline	29.990399110268385	0.7372261881828308
INTMT-4843	mT5-base	mT5	EN	OB	Preserved	Diacritics	t-w-t	29.616493921730743	0.7387818098068237
INTMT-4851	mT5-base	mT5	EN	OB	Simplified	Normalized	t-w-t	28.388591876041502	0.7312419414520264
INTMT-4859	mT5-base	mT5	EN	BH	Preserved	Diacritics	emb-auto	28.5244787654441	0.7071273922920227
INTMT-4812	mT5-base	mT5	PL	Unused	Preserved	Diacritics	baseline	28.75066510886668	0.8504807949066162
INTMT-4755	mT5-base	mT5	EN	BH	Simplified	Normalized	emb-concat	27.32173330509892	0.6822931170463562
INTMT-4835	mT5-base	mT5	EN	BH	Simplified	Normalized	t-w-t	27.58803129454508	0.7203525304794312
INTMT-4844	mT5-base	mT5	PL	OB	Preserved	Diacritics	t-w-t	27.718974272229115	0.8445514440536499
INTMT-4820	mT5-base	mT5	PL	Unused	Simplified	Normalized	baseline	26.214567025617168	0.8473386168479919
INTMT-4836	mT5-base	mT5	PL	BH	Simplified	Normalized	t-w-t	26.065040088604043	0.8433317542076111
INTMT-4828	mT5-base	mT5	PL	BH	Preserved	Diacritics	t-w-t	21.44920436043399	0.8234318494796753
INTMT-4662	GreTa	GreTa	EN	Unused	Preserved	Diacritics	baseline	17.686677766460598	0.5555530190467834
INTMT-4831	GreTa	GreTa	EN	BH	Simplified	Normalized	t-w-t	16.12581351348142	0.5600519180297852
INTMT-4815	GreTa	GreTa	EN	Unused	Simplified	Normalized	baseline	16.768231628275924	0.561098039150238
INTMT-4823	GreTa	GreTa	EN	BH	Preserved	Diacritics	t-w-t	14.700145508236496	0.5532835125923157
INTMT-4839	GreTa	GreTa	EN	OB	Preserved	Diacritics	t-w-t	14.509942422945338	0.5510493516921997
INTMT-4865	PhilTa	PhilTa	PL	BH	Simplified	Normalized	emb-auto	15.36656483741734	0.8166812062263489
INTMT-4847	GreTa	GreTa	EN	OB	Simplified	Normalized	t-w-t	12.144585183037856	0.5327630639076233
INTMT-4713	PhilTa	PhilTa	PL	BH	Preserved	Diacritics	emb-auto	11.793373634710983	0.8000314831733704
INTMT-4874	PhilTa	PhilTa	PL	OB	Preserved	Diacritics	emb-auto	8.238386299063372	0.7860353589057922
INTMT-4922	PhilTa	PhilTa	PL	BH	Preserved	Diacritics	emb-sum	6.18148306753379	0.7658503651618958
INTMT-4882	PhilTa	PhilTa	PL	OB	Simplified	Normalized	emb-auto	6.23076353224514	0.768490731716156
INTMT-4802	PhilTa	PhilTa	PL	OB	Simplified	Normalized	emb-sum	5.392161943210494	0.7600886225700378
INTMT-4903	GreTa	GreTa	EN	OB	Preserved	Diacritics	emb-concat	5.483141237832651	0.4884441494941711
INTMT-4895	GreTa	GreTa	EN	BH	Simplified	Normalized	emb-concat	4.053374783376621	0.4183142483234405
INTMT-4911	GreTa	GreTa	EN	OB	Simplified	Normalized	emb-concat	3.931110454843982	0.4194793999195099
INTMT-4887	GreTa	GreTa	EN	BH	Preserved	Diacritics	emb-concat	3.57936142823648	0.4206086993217468
INTMT-4786	PhilTa	PhilTa	PL	BH	Simplified	Normalized	emb-sum	1.7131577250861505	0.6945822238922119
INTMT-4900	mT5-base	mT5	PL	BH	Simplified	Normalized	emb-concat	1.9317838587438163	0.6837738752365112
INTMT-4752	GreTa	GreTa	PL	BH	Simplified	Normalized	emb-concat	1.85986833085057	0.6228575706481934
INTMT-4787	mT5-base	mT5	EN	BH	Simplified	Normalized	emb-sum	1.65982733172136	0.3792993724346161
INTMT-4891	mT5-base	mT5	EN	BH	Preserved	Diacritics	emb-concat	1.3306770272896846	0.340832769870758
INTMT-4768	GreTa	GreTa	PL	OB	Simplified	Normalized	emb-concat	1.4051658779331373	0.6042545437812805
INTMT-4948	mT5-base	mT5	PL	OB	Simplified	Normalized	emb-sum	0.663600582599811	0.653994619846344
